Date/Time,Location/Region,Energy Source,Energy Demand,Energy Consumption (kWh),Energy Price,Operational Costs,Energy Production (kWh)
01/01/2012,Region A,Fossil Fuels,24016,21848,0.13163,1564.239198,31604
02/01/2012,Region C,Fossil Fuels,56200,34796,0.160969456,3837.295411,11734
03/01/2012,Region A,Renewables,81268,36244,0.155890493,4418.260676,31523
04/01/2012,Region C,Fossil Fuels,61287,19955,0.130128484,3743.41797,21205
05/01/2012,Region B,Fossil Fuels,93447,13788,0.151835453,1071.513936,19548
06/01/2012,Region B,Renewables,84402,6887,0.18103394,1864.931578,6030
07/01/2012,Region C,Fossil Fuels,43607,35789,0.114840693,1277.91994,47213
08/01/2012,Region B,Fossil Fuels,28621,39793,0.111914461,3281.544398,23154
09/01/2012,Region B,Renewables,13823,34394,0.164636843,4025.910715,9754
10/01/2012,Region C,Renewables,30986,23516,0.137383076,1442.316748,23939
11/01/2012,Region C,Fossil Fuels,65325,46616,0.060651017,4353.351282,45822
12/01/2012,Region A,Renewables,58771,40984,0.183816802,3222.035914,18188
13/01/2012,Region A,Renewables,55973,30715,0.054617465,3759.876049,40625
14/01/2012,Region C,Renewables,15690,16602,0.162259453,4885.607394,37323
15/01/2012,Region A,Renewables,40107,3904,0.163819121,1334.723953,36414
16/01/2012,Region B,Fossil Fuels,58888,37760,0.192966663,4604.896092,36532
17/01/2012,Region B,Fossil Fuels,11956,35611,0.058120161,1504.410784,42446
18/01/2012,Region B,Renewables,87839,606,0.139528529,2571.835227,21821
19/01/2012,Region C,Fossil Fuels,57227,15695,0.114176086,4405.754785,28502
20/01/2012,Region B,Fossil Fuels,37533,46509,0.099594943,4625.016947,46216
21/01/2012,Region B,Renewables,96210,27653,0.063547784,3025.486694,36323
22/01/2012,Region A,Fossil Fuels,57234,30105,0.134398118,3376.418553,19916
23/01/2012,Region C,Renewables,68594,45843,0.121856109,3832.589338,7273
24/01/2012,Region C,Renewables,57901,38069,0.065683169,4331.034674,48122
25/01/2012,Region B,Renewables,12519,6080,0.141873426,1486.044678,23535
26/01/2012,Region C,Renewables,32115,49866,0.160692968,4240.277233,35261
27/01/2012,Region A,Fossil Fuels,67266,5900,0.165091745,2925.104602,11884
