Date/Time,Infrastructure Status,Maintenance Activities,Technology Limitations
01/01/2012,Poor,Repairs,High
02/01/2012,Poor,Upgrades,High
03/01/2012,Fair,Upgrades,High
04/01/2012,Poor,Repairs,High
05/01/2012,Poor,Repairs,High
06/01/2012,Poor,Upgrades,High
07/01/2012,Poor,Routine Maintenance,High
08/01/2012,Poor,Upgrades,High
09/01/2012,Fair,Repairs,High
10/01/2012,Poor,Routine Maintenance,High
11/01/2012,Fair,Upgrades,High
12/01/2012,Poor,Routine Maintenance,High
13/01/2012,Poor,Routine Maintenance,High
14/01/2012,Fair,Repairs,High
15/01/2012,Poor,Upgrades,High
16/01/2012,Fair,Repairs,High
17/01/2012,Fair,Upgrades,High
18/01/2012,Poor,Upgrades,High
19/01/2012,Fair,Routine Maintenance,High
20/01/2012,Poor,Routine Maintenance,High
21/01/2012,Poor,Routine Maintenance,High
22/01/2012,Fair,Repairs,High
23/01/2012,Fair,Routine Maintenance,High
24/01/2012,Poor,Repairs,High
25/01/2012,Fair,Routine Maintenance,High
26/01/2012,Poor,Repairs,High
27/01/2012,Poor,Upgrades,High
28/01/2012,Fair,Repairs,High
29/01/2012,Poor,Repairs,High
30/01/2012,Poor,Repairs,High
31/01/2012,Fair,Upgrades,High
01/02/2012,Fair,Repairs,High
02/02/2012,Fair,Upgrades,High
03/02/2012,Poor,Routine Maintenance,High
04/02/2012,Poor,Routine Maintenance,High
05/02/2012,Poor,Upgrades,High
06/02/2012,Poor,Repairs,High
07/02/2012,Poor,Routine Maintenance,High
08/02/2012,Fair,Repairs,High
09/02/2012,Poor,Repairs,High
10/02/2012,Poor,Upgrades,High
11/02/2012,Poor,Routine Maintenance,High
12/02/2012,Fair,Upgrades,High
13/02/2012,Poor,Upgrades,High
14/02/2012,Fair,Upgrades,High
15/02/2012,Poor,Upgrades,High
16/02/2012,Poor,Repairs,High
17/02/2012,Fair,Routine Maintenance,High
18/02/2012,Fair,Routine Maintenance,High
19/02/2012,Poor,Routine Maintenance,High
20/02/2012,Poor,Repairs,High
21/02/2012,Poor,Repairs,High
22/02/2012,Fair,Upgrades,High
23/02/2012,Fair,Upgrades,High
24/02/2012,Poor,Upgrades,High
25/02/2012,Poor,Upgrades,High
26/02/2012,Poor,Routine Maintenance,High
27/02/2012,Fair,Upgrades,High
28/02/2012,Poor,Repairs,High
29/02/2012,Poor,Repairs,High
01/03/2012,Poor,Repairs,High
02/03/2012,Poor,Upgrades,High
03/03/2012,Fair,Routine Maintenance,High
04/03/2012,Poor,Routine Maintenance,High
05/03/2012,Poor,Upgrades,High
06/03/2012,Poor,Upgrades,High
07/03/2012,Poor,Repairs,High
08/03/2012,Poor,Repairs,High
09/03/2012,Fair,Routine Maintenance,High
10/03/2012,Poor,Repairs,High
11/03/2012,Fair,Repairs,High
12/03/2012,Fair,Upgrades,High
13/03/2012,Fair,Routine Maintenance,High
14/03/2012,Poor,Upgrades,High
15/03/2012,Poor,Routine Maintenance,High
16/03/2012,Poor,Upgrades,High
17/03/2012,Poor,Routine Maintenance,High
18/03/2012,Poor,Repairs,High
19/03/2012,Fair,Routine Maintenance,High
20/03/2012,Fair,Routine Maintenance,High
21/03/2012,Fair,Upgrades,High
22/03/2012,Poor,Routine Maintenance,High
23/03/2012,Poor,Routine Maintenance,High
24/03/2012,Poor,Routine Maintenance,High
25/03/2012,Poor,Upgrades,High
26/03/2012,Poor,Routine Maintenance,High
27/03/2012,Poor,Upgrades,High
28/03/2012,Fair,Repairs,Moderate
29/03/2012,Fair,Upgrades,High
30/03/2012,Poor,Routine Maintenance,Moderate
31/03/2012,Poor,Repairs,High
01/04/2012,Poor,Routine Maintenance,High
02/04/2012,Poor,Upgrades,High
03/04/2012,Poor,Repairs,High
04/04/2012,Poor,Repairs,Moderate
05/04/2012,Fair,Repairs,High
06/04/2012,Fair,Routine Maintenance,High
07/04/2012,Fair,Repairs,Moderate
08/04/2012,Fair,Repairs,High
09/04/2012,Poor,Repairs,Moderate
10/04/2012,Poor,Repairs,Moderate
11/04/2012,Fair,Upgrades,Moderate
12/04/2012,Poor,Routine Maintenance,Moderate
13/04/2012,Poor,Routine Maintenance,High
14/04/2012,Poor,Repairs,High
15/04/2012,Poor,Upgrades,Moderate
16/04/2012,Poor,Repairs,High
17/04/2012,Poor,Routine Maintenance,Moderate
18/04/2012,Poor,Routine Maintenance,Moderate
19/04/2012,Poor,Routine Maintenance,Moderate
20/04/2012,Fair,Repairs,High
21/04/2012,Fair,Repairs,High
22/04/2012,Poor,Upgrades,High
23/04/2012,Poor,Upgrades,High
24/04/2012,Poor,Routine Maintenance,High
25/04/2012,Poor,Routine Maintenance,High
26/04/2012,Poor,Upgrades,High
27/04/2012,Poor,Routine Maintenance,High
28/04/2012,Poor,Upgrades,High
29/04/2012,Poor,Repairs,High
30/04/2012,Poor,Routine Maintenance,High
01/05/2012,Poor,Routine Maintenance,High
02/05/2012,Poor,Upgrades,High
03/05/2012,Poor,Repairs,Moderate
04/05/2012,Poor,Routine Maintenance,High
05/05/2012,Fair,Routine Maintenance,Moderate
06/05/2012,Poor,Upgrades,High
07/05/2012,Poor,Repairs,High
08/05/2012,Fair,Upgrades,High
09/05/2012,Poor,Repairs,High
10/05/2012,Fair,Repairs,High
11/05/2012,Poor,Upgrades,High
12/05/2012,Fair,Upgrades,High
13/05/2012,Poor,Repairs,Moderate
14/05/2012,Poor,Upgrades,High
15/05/2012,Poor,Routine Maintenance,High
16/05/2012,Poor,Routine Maintenance,Moderate
17/05/2012,Fair,Routine Maintenance,High
18/05/2012,Fair,Routine Maintenance,High
19/05/2012,Poor,Routine Maintenance,Moderate
20/05/2012,Poor,Upgrades,Moderate
21/05/2012,Poor,Repairs,High
22/05/2012,Fair,Upgrades,High
23/05/2012,Fair,Routine Maintenance,High
24/05/2012,Poor,Routine Maintenance,High
25/05/2012,Poor,Upgrades,Moderate
26/05/2012,Fair,Upgrades,Moderate
27/05/2012,Fair,Repairs,High
28/05/2012,Fair,Routine Maintenance,High
29/05/2012,Poor,Upgrades,High
30/05/2012,Poor,Repairs,High
31/05/2012,Poor,Routine Maintenance,Moderate
01/06/2012,Fair,Routine Maintenance,High
02/06/2012,Fair,Routine Maintenance,High
03/06/2012,Poor,Upgrades,High
04/06/2012,Fair,Routine Maintenance,High
05/06/2012,Fair,Routine Maintenance,High
06/06/2012,Poor,Repairs,High
07/06/2012,Poor,Upgrades,High
08/06/2012,Poor,Repairs,High
09/06/2012,Poor,Upgrades,High
10/06/2012,Poor,Routine Maintenance,Moderate
11/06/2012,Fair,Repairs,High
12/06/2012,Poor,Upgrades,Moderate
13/06/2012,Poor,Upgrades,High
14/06/2012,Fair,Routine Maintenance,High
15/06/2012,Fair,Routine Maintenance,High
16/06/2012,Fair,Repairs,High
17/06/2012,Fair,Repairs,High
18/06/2012,Poor,Upgrades,High
19/06/2012,Poor,Repairs,High
20/06/2012,Fair,Routine Maintenance,High
21/06/2012,Poor,Repairs,High
22/06/2012,Fair,Repairs,High
23/06/2012,Poor,Upgrades,High
24/06/2012,Poor,Routine Maintenance,Moderate
25/06/2012,Poor,Upgrades,High
26/06/2012,Poor,Routine Maintenance,High
27/06/2012,Poor,Routine Maintenance,Moderate
28/06/2012,Poor,Upgrades,High
29/06/2012,Fair,Repairs,High
30/06/2012,Fair,Upgrades,High
