Date/Time,Regulatory Changes,Compliance Status,Compliance Costs
2012-01-01,New Regulation,Compliant,3281.685306168008
2012-01-02,Amendment,Non-compliant,2037.2722811030064
2012-01-03,Amendment,Non-compliant,629.8917775611384
2012-01-04,New Regulation,Non-compliant,2277.898350604848
2012-01-05,Amendment,Non-compliant,4687.163688109401
2012-01-06,New Regulation,Compliant,3318.3549264823964
2012-01-07,No change,Compliant,877.8006638190573
2012-01-08,Amendment,Non-compliant,4482.471260277616
2012-01-09,New Regulation,Non-compliant,1709.9368220368167
2012-01-10,New Regulation,Compliant,1596.9627188722734
2012-01-11,New Regulation,Non-compliant,1836.9093595114437
2012-01-12,No change,Non-compliant,3097.4100625668084
2012-01-13,No change,Non-compliant,2951.0964204528946
2012-01-14,New Regulation,Non-compliant,2711.361895802968
2012-01-15,Amendment,Non-compliant,3728.9158858068217
2012-01-16,New Regulation,Non-compliant,1924.4197910073156
2012-01-17,No change,Compliant,4019.29034707594
2012-01-18,No change,Non-compliant,1288.9475527036961
2012-01-19,Amendment,Compliant,4021.7935508465416
2012-01-20,New Regulation,Compliant,3487.1454736262726
2012-01-21,Amendment,Compliant,3574.4373929641392
2012-01-22,No change,Non-compliant,2666.99028707267
2012-01-23,New Regulation,Non-compliant,3501.5068970638913
2012-01-24,New Regulation,Non-compliant,859.0867095175583
2012-01-25,Amendment,Compliant,4331.980026722153
2012-01-26,Amendment,Compliant,749.962550694407
2012-01-27,Amendment,Non-compliant,1169.3367944217387
2012-01-28,No change,Non-compliant,3095.5536882375636
2012-01-29,No change,Compliant,3827.351549555112
2012-01-30,No change,Compliant,843.1320395581406
2012-01-31,New Regulation,Compliant,4643.441663550439
2012-02-01,New Regulation,Non-compliant,4881.234419603144
2012-02-02,Amendment,Compliant,3226.7757785347
2012-02-03,Amendment,Compliant,2665.5955491957643
2012-02-04,No change,Compliant,3836.2773752588737
2012-02-05,Amendment,Non-compliant,1977.6080854724244
2012-02-06,No change,Non-compliant,2719.689953472979
2012-02-07,No change,Non-compliant,4622.679620664806
2012-02-08,New Regulation,Compliant,4800.449413586901
2012-02-09,No change,Compliant,4671.811022230333
2012-02-10,New Regulation,Compliant,1681.0163013372808
2012-02-11,No change,Compliant,1546.1106809754353
2012-02-12,Amendment,Non-compliant,1839.490276681914
2012-02-13,New Regulation,Compliant,2485.9000057480707
2012-02-14,No change,Compliant,1913.753357563836
2012-02-15,No change,Non-compliant,2183.957580825761
2012-02-16,New Regulation,Compliant,3292.866284543418
2012-02-17,Amendment,Compliant,3931.3655469228916
2012-02-18,New Regulation,Compliant,3810.0118922056267
2012-02-19,New Regulation,Non-compliant,4164.906051856184
2012-02-20,Amendment,Compliant,644.8298144693098
2012-02-21,Amendment,Non-compliant,714.8020535544024
2012-02-22,Amendment,Compliant,4052.223323098832
2012-02-23,New Regulation,Non-compliant,2898.8547004608436
2012-02-24,Amendment,Non-compliant,3101.633031929541
2012-02-25,New Regulation,Non-compliant,736.6408709646969
2012-02-26,New Regulation,Compliant,1648.912105270719
2012-02-27,New Regulation,Compliant,3372.5943719846496
2012-02-28,Amendment,Non-compliant,4366.318505498042
2012-02-29,Amendment,Non-compliant,4626.425287316311
2012-03-01,New Regulation,Compliant,2751.887731257868
2012-03-02,New Regulation,Non-compliant,2954.6340473218893
2012-03-03,Amendment,Compliant,4248.723339810459
2012-03-04,New Regulation,Compliant,2919.310703363096
2012-03-05,No change,Non-compliant,2825.8633649179283
2012-03-06,New Regulation,Non-compliant,4572.878169924292
2012-03-07,No change,Compliant,4054.6972447514604
2012-03-08,No change,Compliant,4590.826368625825
2012-03-09,New Regulation,Compliant,1482.111746515192
2012-03-10,New Regulation,Non-compliant,2859.6896899491053
2012-03-11,New Regulation,Compliant,4291.124578670111
2012-03-12,No change,Non-compliant,1000.1652236019902
2012-03-13,Amendment,Non-compliant,4075.979694322828
2012-03-14,No change,Compliant,1323.3802253669126
2012-03-15,No change,Non-compliant,4136.534397433945
2012-03-16,No change,Non-compliant,3254.0042190059066
2012-03-17,Amendment,Non-compliant,1369.5619616819022
2012-03-18,No change,Non-compliant,2630.093806997605
2012-03-19,No change,Compliant,3568.573249073472
2012-03-20,New Regulation,Compliant,3352.338053975941
2012-03-21,Amendment,Non-compliant,2422.6123830426695
2012-03-22,No change,Non-compliant,4547.149380144171
2012-03-23,No change,Non-compliant,2836.6853651952993
2012-03-24,New Regulation,Non-compliant,2776.4028433790977
2012-03-25,Amendment,Non-compliant,780.1276547365442
2012-03-26,Amendment,Compliant,4649.541754089367
2012-03-27,New Regulation,Compliant,1297.0245590526783
2012-03-28,No change,Compliant,2877.551120464494
2012-03-29,New Regulation,Compliant,4116.054206301395
2012-03-30,Amendment,Non-compliant,1469.5397463003949
2012-03-31,Amendment,Non-compliant,2873.179804868785
2012-04-01,No change,Compliant,1583.0820915050338
2012-04-02,No change,Compliant,3918.627490099603
2012-04-03,Amendment,Compliant,3039.535255429178
2012-04-04,Amendment,Non-compliant,4351.891371778145
2012-04-05,New Regulation,Non-compliant,4525.511012948223
2012-04-06,New Regulation,Non-compliant,3419.3006710042914
2012-04-07,No change,Compliant,3764.26060771525
2012-04-08,New Regulation,Compliant,2971.4904494908865
2012-04-09,Amendment,Non-compliant,2229.929298803223
2012-04-10,New Regulation,Non-compliant,3416.5306535937557
2012-04-11,New Regulation,Non-compliant,4587.29880569298
2012-04-12,Amendment,Compliant,2375.061711941471
2012-04-13,New Regulation,Non-compliant,1914.845118682079
2012-04-14,Amendment,Non-compliant,2247.9662234865837
2012-04-15,New Regulation,Compliant,2459.289335952198
2012-04-16,Amendment,Non-compliant,831.024630399723
2012-04-17,Amendment,Non-compliant,2742.988281957475
2012-04-18,No change,Non-compliant,2724.4141162252686
2012-04-19,No change,Non-compliant,3147.997224382354
2012-04-20,New Regulation,Compliant,2132.6901371209915
2012-04-21,No change,Non-compliant,3258.9841818001537
2012-04-22,New Regulation,Compliant,4451.973396233913
2012-04-23,New Regulation,Non-compliant,4799.619457228239
2012-04-24,New Regulation,Compliant,3126.2549726347233
2012-04-25,New Regulation,Non-compliant,691.6592928664089
2012-04-26,New Regulation,Non-compliant,4861.56198770199
2012-04-27,New Regulation,Compliant,3676.3792740331533
2012-04-28,No change,Non-compliant,2011.8364184914346
2012-04-29,No change,Non-compliant,1162.2096543367552
2012-04-30,No change,Compliant,1145.3837550632372
2012-05-01,Amendment,Non-compliant,1254.8498276282123
2012-05-02,Amendment,Non-compliant,705.0763472621913
2012-05-03,New Regulation,Non-compliant,4559.693848938102
2012-05-04,Amendment,Non-compliant,2933.4570477230136
2012-05-05,No change,Non-compliant,3649.8173572122673
2012-05-06,New Regulation,Compliant,4226.488291707384
2012-05-07,New Regulation,Compliant,4061.934528499401
2012-05-08,No change,Non-compliant,4471.7253067797865
2012-05-09,New Regulation,Non-compliant,4852.645801362283
2012-05-10,Amendment,Compliant,2475.817766338728
2012-05-11,New Regulation,Compliant,4776.509600007757
